paper_doi,dataset_name,dataset_url,relationship,available_inputs,event_annotations,verification_status,source_note,notes
https://doi.org/10.1016/j.neuron.2022.03.010,Grosmark 2016 / CRCNS hc-11,https://crcns.org/data-sets/hc/hc-11/about-hc-11,reused,spikes;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"The Key Resources Table lists Grosmark et al. CRCNS 10.6080/K0862DC5 as deposited data; the paper uses it for the interneuron analysis (Fig. 7C-D), not for replay detection. See sources.md#grosmark-data for the deposit inspection. Account required; consult deposit use conditions."
https://doi.org/10.1016/j.neuron.2022.02.002,Widloski 2025 processed replay data,https://zenodo.org/records/16916108,original,not_verified,reported_present,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"Released with Widloski 2025, which cites its data set as this paper's (ref. 23). The replay events are the 2025 reanalysis, which does not require bursts or ripples, not this paper's event list; contents are inferred from file names only. Raw inputs are not established."
https://doi.org/10.7554/eLife.64505,Denovellis 2021 Dryad data,https://doi.org/10.7272/Q61N7ZC3,reused,lfp;spikes;behavior,reported_present,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"The paper's own deposit (version 5): ten W-track rats, nine of which contributed to earlier studies (Karlsson 2008, 2009; Carr 2012; Kay 2016, 2020), so most recordings are reused. The README describes LFP, sorted spikes and position per animal and the ripple-identification steps, ending in {animal}candripples{day}.mat after combining tetrodes. Tables were not opened. Zenodo 5587779 mirrors the ten animal archives."
https://doi.org/10.7554/eLife.64505,Karlsson and Carr / CRCNS hc-6,https://crcns.org/data-sets/hc/hc-6,reused,lfp;spikes;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,The Dryad deposit's DataCite record declares hc-6 (10.6080/K0NK3BZJ) as its supplement. The hc-6 file-type list names no ripple files; the Dryad row carries the event tables. Exact animal/session overlap was not mapped. Account required; consult deposit use conditions.
https://doi.org/10.1016/j.neuron.2021.07.029,Gillespie 2021 / DANDI 000115,https://dandiarchive.org/dandiset/000115/0.210914.1732,original,electrophysiology;behavior,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"Pinned published version. Landing metadata lists CA1 tetrode recordings, port/reward events and position; LFP, sorted-unit and ripple-table contents were not checked at the file level in this catalog pass."
https://doi.org/10.1016/j.cub.2021.07.058,Michon 2021 OSF project,https://osf.io/smzby/,original,not_verified,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#michon-osf,Paper links data and analysis routines here. Existing audit inspected the API inventory and behavior/place-code notebooks; the code folder was empty and imported detector modules absent. Signal arrays and event inventories were not verified.
https://doi.org/10.1073/pnas.2011266118,Igata 2021 Mendeley data,https://doi.org/10.17632/4xk5w69yr5.1,original,not_verified,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,Version 1 landing page identifies original recordings from all rats in Igata et al.; it refers to readme.txt. Individual signals and event annotations were not inspected.
https://doi.org/10.1073/pnas.1912533117,Bhattarai 2020 Figshare data,https://doi.org/10.6084/m9.figshare.10032866.v2,original,lfp;spikes;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#bhattarai-data,"Complete ZIP listing and ReadMe/MetaData.docx inspected: one tetrode LFP, spikes, behavior and tracking. events.mat contains trial/delay/reward timing, not established SWR/replay annotations. Arrays were not exhaustively inspected. Automated article-page requests receive an AWS WAF challenge; the version-2 public API and all three file download links work (bounded byte-range checks; see source note)."
https://doi.org/10.1016/j.neuron.2019.05.040,Grosmark 2016 / CRCNS hc-11,https://crcns.org/data-sets/hc/hc-11/about-hc-11,reused,spikes;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/papers/22_Farooq_2019.md,Farooq Neuron uses Grosmark data for cross-validation with EMG-verified SWS. See sources.md#grosmark-data for the deposit inspection. This does not catalog the availability of Farooq original recordings.
https://doi.org/10.1016/j.neuron.2019.09.012,Shin 2019 / DANDI 000978,https://dandiarchive.org/dandiset/000978/0.240511.0307,original,lfp;spikes;behavior,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/papers/27_Shin_2019.md,"Shin association comes from the existing paper note. Published version 0.240511.0307 describes Single Day W-Track Learning with LFP, CA1/PFC spike times and position for eight subjects (ER1, JS14, JS15, JS17, JS21, JS34, KL8, ZT2) and lists no related publication (sources.md#dataset-catalog-checks). Which subjects are the paper's was not checked. Complete file inventory and event-table absence remain unverified."
https://doi.org/10.1038/s41593-019-0464-6,Carey 2019 SWR candidate files,https://github.com/vandermeerlab/papers/tree/3aebc8e454c3b863b68c20c57421e6c16a6e809b/Carey_etal_submitted/SWRcandidates,reused,not_verified,present,files_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#carey-data,"Author-released derived candidates on recordings reused from van der Meer et al. 2017. One actual Git LFS file, R050-2014-03-29-candidates.mat, was read: 1654 candidate intervals with stored configuration. This link is to event files, not the raw recording inputs; candidates are not final decoded replays."
https://doi.org/10.1038/s41593-019-0464-6,van der Meer 2017 MotivationalT / DataLad,https://datasets.datalad.org/labs/mvdm/MotivationalT/,reused,lfp;spikes;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"The paper uses the dataset of van der Meer, Carey & Tanaka 2017 (paper note); the DataLad README names that paper and lists 4 rats with 6 sessions each: LFP (.ncs), spike trains (.t), position (.nvt) and metadata. The README and directory listings name no event files; the released candidate events are the separate GitHub row. Session folders were not opened."
https://doi.org/10.1126/science.aat2952,Drieu 2018 / CRCNS hc-18,https://crcns.org/data-sets/hc/hc-18,original,lfp;spikes;behavior,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"The About page names this paper: 5 sessions of passive/active travel interleaved with sleep, with spikes, LFP at 1250 Hz and head positions in NeuroSuite format, plus analysis scripts. It does not say whether ripple .evt files are included; the archive was not opened. Account required; consult deposit use conditions."
https://doi.org/10.7554/eLife.34467,Maboudi 2018 stored example session,https://github.com/kemerelab/UncoveringTemporalStructureHippocampus/blob/f86b7dcc9ebf1105d9738086a91928f8f3f575a2/data/fig1.nel,not_verified,spikes,present,files_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#maboudi-code,"Inert parsing of the nelpy 0.2.0 artifact established spikes, 457 MUA epochs and 277 final binned PBEs for session 16-40-19. These are different inventories; raw LFP availability and the recording original/reused relationship are not established here."
https://doi.org/10.7554/eLife.34467,Karlsson W-maze / CRCNS hc-6,https://crcns.org/data-sets/hc/hc-6,reused,lfp;spikes;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/papers/31_Maboudi_2018.md,"Paper note identifies the reused Karlsson W-maze data; CRCNS hc-6 includes that collection and other sessions. Exact session matching was not done. The published file-type list names no ripple table. The Denovellis 2021 Dryad re-release (10.7272/Q61N7ZC3) of Frank-lab W-track animals lists ripple tables, whose relation to published events is not established; see that row. Account required; consult deposit use conditions."
https://doi.org/10.7554/eLife.34467,CRCNS hc-3,https://crcns.org/data-sets/hc/hc-3/about-hc-3,reused,lfp;spikes;behavior,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"The paper's linear-track data are Diba & Buzsaki 2007 recordings (paper note), which hc-3 holds for rats gor01, pin01 and vvp01 (see the Diba row). Exact session mapping was not done. Account required; consult deposit use conditions."
https://doi.org/10.1523/JNEUROSCI.2291-17.2017,Jadhav W-track / CRCNS hc-28,https://crcns.org/data-sets/hc/hc-28,original,lfp;spikes;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"The About page names Jadhav et al. 2016 and Tang et al. 2017. Three rats (HPa, HPb, HPc) on the W-track alternation task; whether these are all of the paper's animals was not checked. The data description lists position, clustered spikes, task, tetrode and cell information, and eeg (LFP filtered 1-400 Hz, one channel per tetrode), with no ripple files. Account required; consult deposit use conditions."
https://doi.org/10.1126/science.aad1935,Grosmark 2016 / CRCNS hc-11,https://crcns.org/data-sets/hc/hc-11/about-hc-11,original,spikes;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#grosmark-data,"Description lists spikes, position and epochs. Related DANDI NWB conversion is cataloged separately; these are not independent datasets. No documented original SWR inventory or detector caller established by the inspection. CRCNS account required."
https://doi.org/10.1126/science.aad1935,Grosmark 2016 / DANDI 000044,https://dandiarchive.org/dandiset/000044/0.250624.0426,original,electrophysiology;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#grosmark-data,"NWB conversion of CRCNS hc-11. HDF5 metadata inspected in all eight files: intervals contains epochs only, analysis is empty, processing contains behavior/ecephys. No SWR/replay interval table found in that scope; raw arrays were not exhaustively downloaded."
https://doi.org/10.1016/j.neuron.2016.02.010,Jadhav W-track / CRCNS hc-28,https://crcns.org/data-sets/hc/hc-28,original,lfp;spikes;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"The About page names Jadhav et al. 2016 and Tang et al. 2017. Three rats (HPa, HPb, HPc) on the W-track alternation task; whether these are all of the paper's animals was not checked. The data description lists position, clustered spikes, task, tetrode and cell information, and eeg (LFP filtered 1-400 Hz, one channel per tetrode), with no ripple files. Account required; consult deposit use conditions."
https://doi.org/10.1038/nn.4291,Olafsdottir 2016 raw Axona data,https://zenodo.org/records/5566548,original,electrophysiology,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#barry-data,"ZIP inventory of 1,310 entries inspected in the existing audit: raw Axona recordings; no separately named SWR/replay/candidate files found. Variables inside all MAT files were not inspected. The same deposit is reused by Bush 2022."
https://doi.org/10.1016/j.neuron.2012.06.014,Karlsson and Carr / CRCNS hc-6,https://crcns.org/data-sets/hc/hc-6,original,lfp;spikes;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"Collection includes recordings underlying Karlsson 2009 and Carr 2012. Landing metadata lists LFP, clustered spikes, position and task/tetrode information, but no ripple files. This is a metadata-level finding, not an inspection of all MAT variables or an exact paper/session mapping. The Denovellis 2021 Dryad re-release (10.7272/Q61N7ZC3) of Frank-lab W-track animals lists ripple tables, whose relation to published events is not established; see that row. Account required; consult deposit use conditions."
https://doi.org/10.1016/j.neuron.2012.06.014,Denovellis 2021 Dryad data,https://doi.org/10.7272/Q61N7ZC3,original,lfp;spikes;behavior,reported_present,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"Re-release with Denovellis 2021: the README credits recordings to Karlsson (Bond, Frank, Conley, Dudley) and Carr (Coriander) and lists this paper among the studies the rats contributed to; the DataCite record links it. How the listed ripple tables relate to this paper's published events is not established. Exact paper/session mapping was not done; tables were not opened."
https://doi.org/10.1038/nn.2344,Karlsson and Carr / CRCNS hc-6,https://crcns.org/data-sets/hc/hc-6,original,lfp;spikes;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"Collection includes recordings underlying Karlsson 2009 and Carr 2012. Landing metadata lists LFP, clustered spikes, position and task/tetrode information, but no ripple files. This is a metadata-level finding, not an inspection of all MAT variables or an exact paper/session mapping. The Denovellis 2021 Dryad re-release (10.7272/Q61N7ZC3) of Frank-lab W-track animals lists ripple tables, whose relation to published events is not established; see that row. Account required; consult deposit use conditions."
https://doi.org/10.1038/nn.2344,Denovellis 2021 Dryad data,https://doi.org/10.7272/Q61N7ZC3,original,lfp;spikes;behavior,reported_present,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"Re-release with Denovellis 2021: the README credits recordings to Karlsson (Bond, Frank, Conley, Dudley) and lists this paper among the studies the rats contributed to; the DataCite record links it. How the listed ripple tables relate to this paper's published events is not established. Exact paper/session mapping was not done; tables were not opened."
https://doi.org/10.1038/nn1961,CRCNS hc-3,https://crcns.org/data-sets/hc/hc-3/about-hc-3,original,lfp;spikes;behavior,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"Subset: rats gor01, pin01 and vvp01, whose linear-track sessions the hc-3 data paper (Mizuseki et al. 2014, F1000Research) describes with a citation to this paper. Exact session mapping was not done. Account required; consult deposit use conditions."
https://doi.org/10.1038/nn1825,Ji and Wilson track-running spike archive,https://github.com/wilsonlab/CRCNS_Shared_Data,original,spikes,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/papers/52_Ji_2007.md,Existing audit identifies JiWilson_dataset.zip as track-running spikes only. The repository also contains other datasets. Availability of the sleep recordings and frame/ripple annotations needed to reproduce the paper is not established by this archive.
